gene_id	PreFe_reads	T2_reads	T12_reads	T42_reads	gene_length	gene_product_name	COG	Pfam	Tigrfam	Enzyme	KO	IMG_Term	count_transmembrane_helices	count_hememotif_CXXCH	count_hememotif_CXXXCH	scaffold_id	start_coord	end_coord	strand
2264875793	3	6	1	0	105	hypothetical protein								0	0	2264867484	2	106	+
2264875794	227	236	40	83	2217	"Ras of Complex, Roc, domain of DAPkinase"		pfam16095 - COR<br/><br/>pfam08477 - Roc<br/><br/>						0	0	2264867484	163	2379	+
2264875795	124	100	21	60	1092	Predicted ATPase	COG4637 - Predicted ATPase<br/><br/>	pfam13304 - AAA_21<br/><br/>						0	0	2264867484	2654	3745	+
2264875796	106	91	15	42	657	protein of unknown function (DUF4276)		pfam14103 - DUF4276<br/><br/>						0	0	2264867484	3757	4413	+
2264875797	216	158	27	65	582	electron transport complex protein RnfA	"COG4657 - Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfA subunit<br/><br/>"	pfam02508 - Rnf-Nqr<br/><br/>	"TIGR01943 - electron transport complex, RnfABCDGE type, A subunit<br/><br/>"		KO:K03617 - rnfA; electron transport complex protein RnfA<br/><br/>		6	0	0	2264867484	4479	5060	+
2264875798	182	138	27	59	582	electron transport complex protein RnfB	"COG2878 - Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfB subunit<br/><br/>"	pfam04060 - FeS<br/><br/>pfam14697 - Fer4_21<br/><br/>	"TIGR01944 - electron transport complex, RnfABCDGE type, B subunit<br/><br/>"		KO:K03616 - rnfB; electron transport complex protein RnfB<br/><br/>		1	0	0	2264867484	5060	5641	+
2264875799	458	349	71	124	1524	electron transport complex protein RnfC	"COG4656 - Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit<br/><br/>"	pfam01512 - Complex1_51K<br/><br/>pfam13375 - RnfC_N<br/><br/>pfam10531 - SLBB<br/><br/>pfam13183 - Fer4_8<br/><br/>	"TIGR01945 - electron transport complex, RnfABCDGE type, C subunit<br/><br/>"		KO:K03615 - rnfC; electron transport complex protein RnfC<br/><br/>			0	0	2264867484	5628	7151	+
2264875800	263	178	37	74	1050	electron transport complex protein RnfD	"COG4658 - Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfD subunit<br/><br/>"	pfam03116 - NQR2_RnfD_RnfE<br/><br/>	"TIGR01946 - electron transport complex, RnfABCDGE type, D subunit<br/><br/>"		KO:K03614 - rnfD; electron transport complex protein RnfD<br/><br/>		7	0	0	2264867484	7148	8197	+
2264875801	260	205	43	68	615	electron transport complex protein RnfG	"COG4659 - Na+-translocating ferredoxin:NAD+ oxidoreductase RNF, RnfG subunit<br/><br/>"	pfam04205 - FMN_bind<br/><br/>	"TIGR01947 - electron transport complex, RnfABCDGE type, G subunit<br/><br/>"		KO:K03612 - rnfG; electron transport complex protein RnfG<br/><br/>		1	0	0	2264867484	8204	8818	+
2264875802	208	173	39	105	360	Uncharacterized low-complexity proteins		pfam00805 - Pentapeptide<br/><br/>						0	0	2264867484	9011	9370	+
2264875803	179	149	27	61	414	hypothetical protein								0	0	2264867484	9370	9783	+
2264875804	559	346	79	162	963	ADP-L-glycero-D-manno-heptose 6-epimerase	COG0451 - Nucleoside-diphosphate-sugar epimerase<br/><br/>	pfam01370 - Epimerase<br/><br/>	TIGR02197 - ADP-L-glycero-D-manno-heptose-6-epimerase<br/><br/>	EC:5.1.3.20 - ADP-glyceromanno-heptose 6-epimerase.<br/><br/>	"KO:K03274 - gmhD, rfaD; ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]<br/><br/>"			0	0	2264867484	9780	10742	+
2264875805	288	178	48	69	351	outer membrane protein assembly factor BamE	"COG2913 - Outer membrane protein assembly factor BamE, lipoprotein component of the BamABCDE complex<br/><br/>"	pfam04355 - SmpA_OmlA<br/><br/>			"KO:K06186 - bamE, smpA; outer membrane protein assembly factor BamE<br/><br/>"			0	0	2264867484	10735	11085	+
2264875806	226	141	45	84	291	hypothetical protein							2	0	0	2264867484	11078	11368	+
2264875807	773	552	150	218	1635	Predicted phosphoesterase		pfam12850 - Metallophos_2<br/><br/>						0	0	2264867484	11405	13039	-
2264875808	283	180	43	97	633	hypothetical protein								0	0	2264867484	13145	13777	+
2264875809	219	170	48	78	582	hypothetical protein	"COG2229 - Signal recognition particle receptor subunit beta, a GTPase<br/><br/>"	pfam00025 - Arf<br/><br/>	TIGR00231 - small GTP-binding protein domain<br/><br/>		KO:K06945 - K06945; uncharacterized protein<br/><br/>			0	0	2264867484	13780	14361	+
2264875810	209	132	36	98	345	ferredoxin	"COG1146 - NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit<br/><br/>"	pfam12838 - Fer4_7<br/><br/>			KO:K05524 - fdxA; ferredoxin<br/><br/>			0	0	2264867484	14465	14809	+
2264875811	549	327	75	183	1062	23S rRNA (adenine2503-C2)-methyltransferase	COG0820 - Adenine C2-methylase RlmN of 23S rRNA A2503 and tRNA A37<br/><br/>	pfam04055 - Radical_SAM<br/><br/>pfam13394 - Fer4_14<br/><br/>	TIGR00048 - 23S rRNA (adenine(2503)-C(2))-methyltransferase<br/><br/>	EC:2.1.1.192 - 23S rRNA (adenine(2503)-C(2))-methyltransferase.<br/><br/>	KO:K06941 - rlmN; 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]<br/><br/>			0	0	2264867484	14967	16028	+
2264875812	334	220	62	86	948	"2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase"		pfam13489 - Methyltransf_23<br/><br/>						0	0	2264867484	16052	16999	+
2264875813	162	130	35	48	921	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase		pfam00294 - PfkB<br/><br/>	"TIGR02198 - rfaE bifunctional protein, domain I<br/><br/>"	EC:2.7.1.167 - D-glycero-beta-D-manno-heptose-7-phosphate kinase.<br/><br/>EC:2.7.7.70 - D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase.<br/><br/>	"KO:K03272 - gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]<br/><br/>"			0	0	2264867484	16996	17916	+
2264875814	363	240	57	93	1614	hypothetical protein	COG2509 - Uncharacterized FAD-dependent dehydrogenase<br/><br/>	pfam03486 - HI0933_like<br/><br/>pfam00890 - FAD_binding_2<br/><br/>			KO:K07137 - K07137; uncharacterized protein<br/><br/>		1	0	0	2264867484	17920	19533	+
2264875815	152	110	18	29	954	hypothetical protein	"COG0392 - Uncharacterized membrane protein YbhN, UPF0104 family<br/><br/>"	pfam03706 - LPG_synthase_TM<br/><br/>	TIGR00374 - conserved hypothetical protein<br/><br/>		KO:K07027 - K07027; uncharacterized protein<br/><br/>		8	0	0	2264867484	19551	20504	-
2264875816	539	725	216	431	309	LSU ribosomal protein L21P	COG0261 - Ribosomal protein L21<br/><br/>	pfam00829 - Ribosomal_L21p<br/><br/>	TIGR00061 - ribosomal protein L21<br/><br/>		"KO:K02888 - RP-L21, MRPL21, rplU; large subunit ribosomal protein L21<br/><br/>"	244 - LSU ribosomal protein L21P<br/><br/>		0	0	2264867484	20988	21296	+
2264875817	383	496	171	305	249	LSU ribosomal protein L27P	COG0211 - Ribosomal protein L27<br/><br/>	pfam01016 - Ribosomal_L27<br/><br/>	TIGR00062 - ribosomal protein L27<br/><br/>		"KO:K02899 - RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27<br/><br/>"	250 - LSU ribosomal protein L27P<br/><br/>		0	0	2264867484	21308	21556	+
2264875818	222	182	51	111	1509	L-threonine ammonia-lyase	COG1171 - Threonine dehydratase<br/><br/>	pfam00291 - PALP<br/><br/>pfam00585 - Thr_dehydrat_C<br/><br/>	"TIGR01127 - threonine ammonia-lyase, medium form<br/><br/>TIGR02079 - threonine dehydratase<br/><br/>TIGR01124 - threonine ammonia-lyase, biosynthetic, long form<br/><br/>"	EC:4.3.1.19 - Threonine ammonia-lyase.<br/><br/>	"KO:K01754 - E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]<br/><br/>"	217 - L-threonine ammonia-lyase (EC 4.3.1.19)<br/><br/>		0	0	2264867484	21640	23148	-
2264875819	76	61	8	36	372	hypothetical protein								0	0	2264867484	23195	23566	+
2264875820	204	163	27	76	726	hypothetical protein	COG4727 - Uncharacterized protein<br/><br/>	pfam09916 - DUF2145<br/><br/>						0	0	2264867484	23652	24377	+
2264875821	208	167	35	61	624	"tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family"	COG0009 - tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC<br/><br/>	pfam01300 - Sua5_yciO_yrdC<br/><br/>	"TIGR00057 - tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family<br/><br/>"					0	0	2264867484	24374	24997	+
2264875822	620	555	127	223	3228	protein of unknown function (DUF748)		pfam05359 - DUF748<br/><br/>					1	0	0	2264867484	25004	28231	+
2264875823	495	365	75	149	2796	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein		pfam02743 - dCache_1<br/><br/>pfam00990 - GGDEF<br/><br/>pfam13426 - PAS_9<br/><br/>pfam00563 - EAL<br/><br/>	TIGR00254 - diguanylate cyclase (GGDEF) domain<br/><br/>TIGR00229 - PAS domain S-box<br/><br/>				3	0	0	2264867484	28228	31023	+
2264875824	1793	1447	441	855	1416	glutamine synthetase	COG0174 - Glutamine synthetase<br/><br/>	pfam03951 - Gln-synt_N<br/><br/>pfam00120 - Gln-synt_C<br/><br/>	"TIGR00653 - glutamine synthetase, type I<br/><br/>"	EC:6.3.1.2 - Glutamate--ammonia ligase.<br/><br/>	"KO:K01915 - glnA, GLUL; glutamine synthetase [EC:6.3.1.2]<br/><br/>"			0	0	2264867484	31090	32505	-
2264875825	8	9	3	3	135	hypothetical protein								0	0	2264867484	32572	32706	+
2264875826	99	87	22	41	528	hypothetical protein								0	0	2264867484	32737	33264	+
2264875827	168	107	23	58	654	"DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains"	"COG2197 - DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains<br/><br/>"	pfam00072 - Response_reg<br/><br/>pfam00196 - GerE<br/><br/>						0	0	2264867484	33455	34108	-
2264875828	45	22	5	17	132	hypothetical protein								0	0	2264867484	34156	34287	-
2264875829	403	312	68	129	1350	signal recognition particle subunit FFH/SRP54 (srp54)	COG0541 - Signal recognition particle GTPase<br/><br/>	pfam02881 - SRP54_N<br/><br/>pfam00448 - SRP54<br/><br/>pfam02978 - SRP_SPB<br/><br/>	TIGR00959 - signal recognition particle protein<br/><br/>		"KO:K03106 - SRP54, ffh; signal recognition particle subunit SRP54<br/><br/>"	1969 - signal recognition particle subunit FFH/SRP54 (srp54)<br/><br/>		0	0	2264867484	34339	35688	-
2264875830	106	79	16	29	747	hypothetical protein							1	0	0	2264867484	35779	36525	-
2264875831	320	232	48	99	1368	tRNA-2-methylthio-N6-dimethylallyladenosine synthase	COG0621 - tRNA A37 methylthiotransferase MiaB<br/><br/>	pfam00919 - UPF0004<br/><br/>pfam04055 - Radical_SAM<br/><br/>pfam01938 - TRAM<br/><br/>	"TIGR01574 - tRNA-N(6)-(isopentenyl)adenosine-37 thiotransferase enzyme MiaB<br/><br/>TIGR00089 - radical SAM methylthiotransferase, MiaB/RimO family<br/><br/>"	EC:2.8.4.3 - tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase.<br/><br/>	KO:K06168 - miaB; tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]<br/><br/>			0	0	2264867484	36665	38032	+
2264875832	261	147	37	67	969	phosphate starvation-inducible protein PhoH	"COG1702 - Phosphate starvation-inducible protein PhoH, predicted ATPase<br/><br/>"	pfam02562 - PhoH<br/><br/>			"KO:K06217 - phoH, phoL; phosphate starvation-inducible protein PhoH and related proteins<br/><br/>"			0	0	2264867484	38025	38993	+
2264875833	112	89	19	37	486	probable rRNA maturation factor	"COG0319 - ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme<br/><br/>"	pfam02130 - UPF0054<br/><br/>	TIGR00043 - rRNA maturation RNase YbeY<br/><br/>		"KO:K07042 - ybeY, yqfG; probable rRNA maturation factor<br/><br/>"			0	0	2264867484	38990	39475	+
2264875834	138	91	19	35	843	Hemolysins and related proteins containing CBS domains		pfam00571 - CBS<br/><br/>pfam03471 - CorC_HlyC<br/><br/>						0	0	2264867484	39468	40310	+
2264875835	56	88	16	27	396	hypothetical protein							3	0	0	2264867484	40486	40881	+
2264875836	86	88	28	30	285	Plasmid stabilization system protein ParE	COG3668 - Plasmid stabilization system protein ParE<br/><br/>	pfam05016 - ParE_toxin<br/><br/>						0	0	2264867484	41115	41399	-
2264875837	68	42	15	22	267	Predicted transcriptional regulator	COG3905 - Predicted transcriptional regulator<br/><br/>							0	0	2264867484	41396	41662	-
2264875838	61	35	9	20	408	cobalt-precorrin 5A hydrolase		pfam01890 - CbiG_C<br/><br/>		EC:3.7.1.12 - Cobalt-precorrin 5A hydrolase.<br/><br/>	KO:K02189 - cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]<br/><br/>			0	0	2264867484	41861	42268	-
2264875839	110	77	11	39	744	cobalt-precorrin 5A hydrolase		pfam11760 - CbiG_N<br/><br/>pfam11761 - CbiG_mid<br/><br/>		EC:3.7.1.12 - Cobalt-precorrin 5A hydrolase.<br/><br/>	KO:K02189 - cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]<br/><br/>			0	0	2264867484	42265	43008	-
2264875840	115	96	24	33	777	precorrin-2/cobalt-factor-2 C20-methyltransferase	COG2243 - Precorrin-2 methylase<br/><br/>	pfam00590 - TP_methylase<br/><br/>	TIGR01467 - precorrin-2 C(20)-methyltransferase<br/><br/>	EC:2.1.1.151 - Cobalt-factor II C(20)-methyltransferase.<br/><br/>EC:2.1.1.130 - Precorrin-2 C(20)-methyltransferase.<br/><br/>	KO:K03394 - cobI-cbiL; precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]<br/><br/>			0	0	2264867484	43005	43781	-
2264875841	49	33	8	16	204	hypothetical protein								0	0	2264867484	43778	43981	-
2264875842	203	127	41	53	1296	"precorrin-6Y C5,15-methyltransferase (decarboxylating)"	COG2242 - Precorrin-6B methylase 2<br/><br/>	pfam00590 - TP_methylase<br/><br/>pfam13847 - Methyltransf_31<br/><br/>	"TIGR02467 - precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit<br/><br/>TIGR02469 - precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit<br/><br/>"	"EC:2.1.1.132 - Precorrin-6B C(5,15)-methyltransferase (decarboxylating).<br/><br/>"	"KO:K00595 - cobL; precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]<br/><br/>"	"1800 - precorrin-6Y C5,15-methyltransferase (decarboxylating) (EC 2.1.1.132)<br/><br/>"		0	0	2264867484	43978	45273	-
2264875843	3142	2394	581	1152	3573	FimV N-terminal domain-containing protein			TIGR03505 - FimV N-terminal domain<br/><br/>				3	0	0	2264867484	45669	49241	-
